year,run,month,site,wtemp,pH,conductivity,specific_conductivity,depth,flow,DO,nh4,no3,type
2014,T1,April,CCD,5.4,7.15,65.8,102.8,0.275,0.7,20.8,0.013,0.239,urban
2014,T1,April,CCU,5.3,7.64,59.9,95.6,0.385,0.5,19,0.016,0.214,rural
2014,T1,April,FHD,4.5,6.46,256.5,404,0.115,0.6,24.5,0.016,0.211,urban
2014,T1,April,FHU,4.2,6.71,176.4,291,0.1,0.5,18.8,0.028,0.165,rural
2014,T1,April,LCD,,,,,,,,,,urban
2014,T1,April,LCU,3.7,5.51,103.5,173.9,0.14,0.7,22.8,0.015,0.094,rural
2014,T1,April,LSD,4.3,6.87,72,118.4,0.33,1.1,24.5,0.011,0.241,reference
2014,T1,April,LSU,4.4,6.85,71.9,118.2,0.35,0.8,24.5,0.019,0.46,reference
2014,T1,April,PCD,5,6.64,133.7,215.2,0.14,0.4,19,0.047,0.433,urban
2014,T1,April,PCU,3.8,6.97,104.6,176.6,0.15,0.7,33,0.015,0.337,rural
2014,T1,April,PTD,3.4,5.53,225.4,383,0.11,0.4,22.5,0.019,0.422,urban
2014,T1,April,PTU,1.9,5.21,86.1,153,0.18,0.2,22.7,0.043,0.29,rural
2014,T1,April,TBD,4,6.85,53,87.8,0.23,0.5,19.6,0.033,0.247,reference
2014,T1,April,TBU,4.1,6.82,49.7,82.2,0.12,0.5,21.4,0.024,0.792,reference
2014,T2,May,CCD,18.1,5.58,103,117.5,0.265,0.9,12.7,0.037,0.007,urban
2014,T2,May,CCU,16.3,6.21,70.2,82.8,0.39,0.8,,0.126,0.095,rural
2014,T2,May,FHD,12.8,7.42,361.5,473,0.105,0.3,37.5,0.049,0.026,urban
2014,T2,May,FHU,13.2,7.48,293.1,377.5,0.105,0.2,23.3,0.071,0.027,rural
2014,T2,May,LCD,19.2,7.36,271.1,304.8,0.305,0.5,18.5,0.084,0.078,urban
2014,T2,May,LCU,20.2,7.59,130.1,143.7,0.12,0.9,,0.033,0.04,rural
2014,T2,May,LSD,20,7.91,120,134.1,0.155,0.4,18,0.039,0.006,reference
