id,year,month_number,month,stream,site,order,family,genus,species,individuals,type
1,2014,T1,April,CC,CCD,Coleoptera,Elmidae,,,1,urban
2,2014,T1,April,CC,CCD,Ephemeroptera,Ephemerellidae,,,4,urban
3,2014,T1,April,CC,CCD,Ephemeroptera,Ephemeridae,,,1,urban
4,2014,T1,April,CC,CCD,Ephemeroptera,Heptageniidae,,,4,urban
5,2014,T1,April,CC,CCD,Ephemeroptera,Heptageniidae,,,1,urban
6,2014,T1,April,CC,CCD,Trichoptera,Hydropsychidae,,,18,urban
7,2014,T1,April,CC,CCD,Trichoptera,Hydropsychidae,,,45,urban
8,2014,T1,April,CC,CCD,Plecoptera,Perlodidae,,,1,urban
9,2014,T1,April,CC,CCD,Trichoptera,Philopotamidae,,,1,urban
10,2014,T1,April,CC,CCD,Diptera,Simuliidae,,,1,urban
11,2014,T1,April,CC,CCD,Plecoptera,Taeniopterygidae,,,12,urban
12,2014,T1,April,CC,CCD,Diptera,Tipulidae,,,1,urban
13,2014,T2,May,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,2,urban
14,2014,T2,May,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,2,urban
15,2014,T2,May,CC,CCD,Ephemeroptera,Ephemerellidae,,,1,urban
16,2014,T2,May,CC,CCD,Trichoptera,Hydropsychidae,,,2,urban
17,2014,T3,June,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,1,urban
18,2014,T3,June,CC,CCD,Ephemeroptera,Heptageniidae,Epeorus,,1,urban
19,2014,T3,June,CC,CCD,Ephemeroptera,Heptageniidae,Epeorus,,3,urban
20,2014,T3,June,CC,CCD,Ephemeroptera,Ephemerellidae,Ephemerella,,2,urban
21,2014,T3,June,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,2,urban
22,2014,T3,June,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,2,urban
23,2014,T3,June,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,3,urban
24,2014,T3,June,CC,CCD,Ephemeroptera,Heptageniidae,Maccaffertium,,1,urban
25,2014,T3,June,CC,CCD,Ephemeroptera,Heptageniidae,Maccaffertium,,3,urban
26,2014,T3,June,CC,CCD,Ephemeroptera,Heptageniidae,Nixe,,25,urban
27,2014,T3,June,CC,CCD,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,,1,urban
28,2014,T3,June,CC,CCD,Coleoptera,Psephenidae,Psephenus,,2,urban
29,2014,T3,June,CC,CCD,Trichoptera,Philopotamidae,Wormaldia,,2,urban
30,2014,T3,June,CC,CCD,Odonata,Aeshnidae,,,1,urban
31,2014,T3,June,CC,CCD,Diptera,Chironomidae,,,1,urban
32,2014,T3,June,CC,CCD,Ephemeroptera,Ephemerellidae,,,1,urban
33,2014,T3,June,CC,CCD,Ephemeroptera,Ephemeridae,,,1,urban
34,2014,T3,June,CC,CCD,Trichoptera,Hydropsychidae,,,1,urban
35,2014,T3,June,CC,CCD,Trichoptera,Philopotamidae,,,1,urban
36,2014,T3,June,CC,CCD,Coleoptera,Psephenidae,,,2,urban
37,2014,T4,July,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,9,urban
38,2014,T4,July,CC,CCD,Coleoptera,Dytiscidae,Desmopachria,,1,urban
39,2014,T4,July,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,3,urban
40,2014,T4,July,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,14,urban
41,2014,T4,July,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,1,urban
42,2014,T4,July,CC,CCD,Diptera,Tipulidae,Tipula,,1,urban
43,2014,T4,July,CC,CCD,Ephemeroptera,Ephemerellidae,,,1,urban
44,2014,T4,July,CC,CCD,Coleoptera,Gyrinidae,,,1,urban
45,2014,T4,July,CC,CCD,Ephemeroptera,Heptageniidae,,,1,urban
46,2014,T4,July,CC,CCD,Ephemeroptera,Heptageniidae,,,3,urban
47,2014,T4,July,CC,CCD,Trichoptera,Hydropsychidae,,,2,urban
48,2014,T5,August,CC,CCD,Trichoptera,Philopotamidae,Chimarra,,2,urban
49,2014,T5,August,CC,CCD,Trichoptera,Philopotamidae,Dolophilodes,,1,urban
50,2014,T5,August,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,6,urban
51,2014,T5,August,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,5,urban
52,2014,T5,August,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,2,urban
53,2014,T5,August,CC,CCD,Ephemeroptera,Heptageniidae,Maccaffertium,,5,urban
54,2014,T5,August,CC,CCD,Coleoptera,Psephenidae,Psephenus,,1,urban
55,2014,T5,August,CC,CCD,Coleoptera,Elmidae,Stenelmis,,1,urban
56,2014,T5,August,CC,CCD,Coleoptera,Elmidae,Stenelmis,,1,urban
57,2014,T5,August,CC,CCD,Ephemeroptera,Heptageniidae,Stenonema,,3,urban
